indicator,severity,description,source_feed,reference,type
github.com,HIGH,"URLhaus: malware_download (github,mirai)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550161/,domain
github.com,HIGH,"URLhaus: malware_download (github,mirai)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550162/,domain
github.com,HIGH,"URLhaus: malware_download (github,mirai)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550153/,domain
github.com,HIGH,"URLhaus: malware_download (github,mirai)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550154/,domain
github.com,HIGH,"URLhaus: malware_download (github,mirai)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550155/,domain
github.com,HIGH,"URLhaus: malware_download (github,mirai)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550156/,domain
github.com,HIGH,"URLhaus: malware_download (github,mirai)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550157/,domain
github.com,HIGH,"URLhaus: malware_download (github,mirai)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550158/,domain
idfccard.com,HIGH,URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3549791/,domain
idfccard.com,HIGH,URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3549787/,domain
idfccard.com,HIGH,URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3549788/,domain
raw.githubusercontent.com,HIGH,URLhaus: malware_download (mirai),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3549531/,domain
raw.githubusercontent.com,HIGH,URLhaus: malware_download (mirai),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3549530/,domain
raw.githubusercontent.com,HIGH,URLhaus: malware_download (mirai),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3549526/,domain
raw.githubusercontent.com,HIGH,URLhaus: malware_download (mirai),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3549527/,domain
raw.githubusercontent.com,HIGH,URLhaus: malware_download (mirai),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3549528/,domain
raw.githubusercontent.com,HIGH,URLhaus: malware_download (mirai),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3549525/,domain
pub-7981e858ef724809929147635c295c9b.r2.dev,HIGH,URLhaus: malware_download (connectwise),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3549161/,domain
zya.tf,HIGH,"URLhaus: malware_download (elf,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3549032/,domain
